date,twitter_sentiment,btc_price,btc_return_1d,sentiment_chg_1d
2026-02-03,46.8,78767.65815345927,,
2026-02-04,44.7,75638.95670207398,-0.03972063566101958,-2.0999999999999943
2026-02-05,50.0,73172.29203248928,-0.0326110350688783,5.299999999999997
2026-02-07,42.9,70523.95417035831,-0.03619317898303742,-7.100000000000001
2026-02-08,43.0,69296.80677355142,-0.017400433813489546,0.10000000000000142
2026-02-09,40.75,70542.37329463876,0.01797437110136424,-2.25
2026-02-10,53.4,70096.40692272567,-0.006321964389408796,12.649999999999999
2026-02-11,39.1,68779.90981269129,-0.018781235270528107,-14.299999999999997
2026-02-12,46.5,66937.58141157958,-0.0267858507830111,7.399999999999999
2026-02-13,51.5,66184.57765470445,-0.011249342163188292,5.0
2026-02-14,57.2,68838.87490510389,0.040104467603424565,5.700000000000003
2026-02-17,48.7,68907.78353606178,0.0010010133235454077,-8.5
2026-02-18,52.4,67489.45540267964,-0.02058298875104403,3.6999999999999957
2026-02-20,59.6,66918.68417467622,-0.008457191195244906,7.200000000000003
2026-02-21,53.9,67970.29403133177,0.015714741998072768,-5.700000000000003
2026-02-23,52.2,67585.11718938159,-0.00566684089629832,-1.6999999999999957
2026-02-24,47.1,64577.553200674425,-0.0445003887509674,-5.100000000000001
2026-02-26,58.8,67947.39185585188,0.0521828172198735,11.699999999999996
2026-02-27,74.4,67469.06040327046,-0.007039732350524686,15.600000000000009
2026-02-28,57.5,65883.99096235317,-0.023493278718321298,-16.900000000000006
2026-03-02,50.7,65713.4989891121,-0.0025877602548166623,-6.799999999999997
2026-03-03,54.3,68864.03691918531,0.04794354247664123,3.5999999999999943
2026-03-04,48.1,68321.6178484252,-0.00787666676289478,-6.199999999999996
2026-03-05,64.8,72669.7701652216,0.06364240856302605,16.699999999999996
