timestamp,fear_greed,classification,btc_price,btc_return_1d,btc_return_7d,fg_change,future_7d,future_14d,future_30d
2024-03-07,82,Extreme Greed,60763.07122951685,,,,0.103093312053808,-0.008207614926566964,-0.15270335357620712
2024-03-08,81,Extreme Greed,60571.47553557144,-0.003153160136058819,,-1.0,0.09395713824416796,-0.0187069960550571,-0.11032183369130044
2024-03-09,84,Extreme Greed,61570.85080458043,0.01649910721461767,,3.0,0.09115449361030326,-0.058736276087596906,-0.1247034969183769
2024-03-10,79,Extreme Greed,63934.314685858735,0.038386084492801675,,-5.0,0.038994821721885176,-0.08608634348325805,-0.17900659918446005
2024-03-11,82,Extreme Greed,63580.11506375974,-0.005540055036788227,,3.0,0.03297113336626101,-0.10152515103066706,-0.1571172668088595
2024-03-12,81,Extreme Greed,63228.12235783084,-0.0055362074380631565,,-1.0,0.045359282287702474,-0.12809373159284432,-0.1779433794394868
2024-03-13,81,Extreme Greed,65744.66289016537,0.03980096891210083,,0.0,-0.04239585422787673,-0.13043504360435654,-0.20495238158923135
2024-03-14,88,Extreme Greed,67027.33749312919,0.019509942656587675,0.103093312053808,7.0,-0.10089892284193791,-0.1515735156169763,-0.25804545568089265
2024-03-15,83,Extreme Greed,66262.59803612035,-0.011409366470616966,0.09395713824416796,-5.0,-0.10298770432638171,-0.14001193199601092,-0.27408660112522754
2024-03-16,81,Extreme Greed,67183.31053082748,0.013894904848210654,0.09115449361030326,-2.0,-0.13736897073296783,-0.18168952342254807,-0.2802072584767358
2024-03-17,79,Extreme Greed,66427.42188894471,-0.011251137163535985,0.038994821721885176,-2.0,-0.12038670702694287,-0.18332658453061024,-0.2582658146280856
2024-03-18,77,Extreme Greed,65676.42351696918,-0.011305547477532207,0.03297113336626101,-2.0,-0.13020333294177322,-0.17138066926338624,-0.24624763702520436
2024-03-19,79,Extreme Greed,66096.10460838108,0.006390133154912991,0.045359282287702474,2.0,-0.16592669794920256,-0.20001566512584878,-0.2528751390262448
2024-03-20,74,Greed,62957.361746013026,-0.0474875619518742,-0.04239585422787673,-5.0,-0.09193693423861815,-0.15191663898301055,-0.2211903928282859
2024-03-21,78,Extreme Greed,60264.35133910942,-0.04277514705536645,-0.10089892284193791,4.0,-0.05636139702469711,-0.12697448599571592,-0.21610559559237497
2024-03-22,75,Greed,59438.36518167851,-0.013706049083363592,-0.10298770432638171,-3.0,-0.041275050351261444,-0.12094694179748144,-0.21916553870150313
2024-03-23,73,Greed,57954.40831277435,-0.024966313665732875,-0.13736897073296783,-2.0,-0.05137834275129061,-0.11164054680148527,-0.20803977021162334
2024-03-24,74,Greed,58430.44331144519,0.008213956669210098,-0.12038670702694287,1.0,-0.07155403176199515,-0.07772188210415643,-0.19338298957145816
2024-03-25,75,Greed,57125.13427936434,-0.022339536688491424,-0.13020333294177322,1.0,-0.047341336062922124,-0.05658426748805745,-0.16749526158197448
2024-03-26,81,Extreme Greed,55128.99622340734,-0.03494325363324491,-0.16592669794920256,6.0,-0.04087046916959114,-0.04787581783563488,-0.17498581268347646
2024-03-27,83,Extreme Greed,57169.25491933293,0.03700881270643053,-0.09193693423861815,2.0,-0.06605235583951574,-0.06259787297969,-0.19762370607145974
2024-03-28,80,Extreme Greed,56867.768306850034,-0.005273579529911698,-0.05636139702469711,-3.0,-0.0748306488822893,-0.08600076743992568,-0.20076911246314322
2024-03-29,79,Extreme Greed,56985.04366600807,0.0020622465528317147,-0.041275050351261444,-1.0,-0.0831019276961662,-0.08273935946416955,-0.21554765165801004
2024-03-30,75,Greed,54976.806858532385,-0.03524147176662795,-0.05137834275129061,-4.0,-0.0635260681534231,-0.09541422122592025,-0.1740859032173948
2024-03-31,75,Greed,54249.50951487058,-0.013229166719946117,-0.07155403176199515,0.0,-0.0066431979384503625,-0.11333930594362718,-0.14105457378605146
2024-04-01,79,Extreme Greed,54420.7540998054,0.0031566107503309127,-0.047341336062922124,4.0,-0.009702248848435291,-0.11140409442128596,-0.12342637810818957
2024-04-02,79,Extreme Greed,52875.84828290806,-0.028388173638021486,-0.04087046916959114,0.0,-0.007303860887255209,-0.06816644533947425,-0.11632421395717785
2024-04-03,71,Greed,53393.090950321166,0.00978221029468207,-0.06605235583951574,-8.0,0.0036987971236128736,-0.07284334852033536,-0.13124154713127445
2024-04-04,70,Greed,52612.31630396076,-0.014623140044221605,-0.0748306488822893,-1.0,-0.012073593384975045,-0.06139766435780525,-0.110634721298986
2024-04-05,79,Extreme Greed,52249.47668751259,-0.006896476755592906,-0.0831019276961662,9.0,0.0003954291572296764,-0.06158298075934032,-0.0821966128609265
2024-04-06,75,Greed,51484.34647917968,-0.014643787016450194,-0.0635260681534231,-4.0,-0.034051298160130083,-0.08242230832069908,-0.07927530051977294
2024-04-07,78,Extreme Greed,53889.11928509945,0.04670881482184619,-0.0066431979384503625,3.0,-0.10740965158113025,-0.13875890953867864,-0.12402833217297637
2024-04-08,76,Extreme Greed,53892.75040100959,6.738124427174697e-05,-0.009702248848435291,-2.0,-0.10269824954624707,-0.14835323521038246,-0.14789733386171122
2024-04-09,80,Extreme Greed,52489.650442754086,-0.02603504085086028,-0.007303860887255209,4.0,-0.06131038698973579,-0.10208985763214418,-0.15086595322988472
2024-04-10,78,Extreme Greed,53590.58116154901,0.02097424367486722,0.0036987971236128736,-2.0,-0.07626007509753086,-0.11258762380321641,-0.15101779105153823
2024-04-11,76,Extreme Greed,51977.09658986505,-0.03010761474707857,-0.012073593384975045,-2.0,-0.04992686767208854,-0.12495681750529664,-0.094564122694753
2024-04-12,79,Extreme Greed,52270.137654044825,0.0056378882893761695,0.0003954291572296764,3.0,-0.061953911533545125,-0.12241947414728749,-0.10082757210915405
2024-04-13,72,Greed,49731.23764663769,-0.04857266732701382,-0.034051298160130083,-7.0,-0.05007616871210163,-0.08607790421244454,-0.030755810098433756
2024-04-14,72,Greed,48100.90775867295,-0.0327828134813164,-0.10740965158113025,0.0,-0.0351216636087095,-0.07066096239918129,0.011640888378141145
2024-04-15,74,Greed,48358.0592715931,0.005346084406770535,-0.10269824954624707,2.0,-0.0508803038008655,-0.06104338212701277,-0.009478975630314412
